step,temp,press,KE,PE,E,Vol
770,38670.8602,2037041.609,2604.271119,-37.61201797,2566.659101,5000
780,38762.48542,2040519.06,2610.441577,-44.6677116,2565.773866,5000
790,39096.03974,2053288.228,2632.904638,-63.49939563,2569.405242,5000
800,39530.93179,2028558.533,2662.192241,-91.82317798,2570.369063,5000
810,38970.93798,2046621.123,2624.479718,-53.37634433,2571.103374,5000
820,38574.09653,2088095.689,2597.754615,-25.7125623,2572.042053,5000
830,39622.85323,2039762.968,2668.382647,-96.98279749,2571.39985,5000
840,39438.05275,2048776.495,2655.937345,-87.13960208,2568.797743,5000
850,40055.69631,2024350.045,2697.532264,-127.8994044,2569.63286,5000
860,38407.66122,2052917.31,2586.546106,-14.50824069,2572.037866,5000
870,38096.53648,2078504.853,2565.593555,6.873187606,2572.466743,5000
880,38665.34661,2057983.688,2603.899809,-31.66073004,2572.239079,5000
890,38456.71885,2053256.67,2589.84987,-17.98459914,2571.86527,5000
900,39445.68588,2038537.306,2656.451395,-87.82010917,2568.631286,5000
910,38451.8132,2052215.369,2589.519501,-17.36431825,2572.155183,5000
920,38201.50129,2063164.945,2572.662362,-3.147374725,2569.514987,5000
930,40088.14842,2013466.118,2699.717736,-127.9306616,2571.787075,5000
940,40893.76323,2004794.429,2753.971492,-186.8230617,2567.14843,5000
950,39914.53115,2051489.355,2688.025562,-120.6518003,2567.373762,5000
960,40054.77374,2031186.219,2697.470134,-132.8422365,2564.627898,5000
970,41112.30584,2000641.231,2768.689142,-204.6072682,2564.081874,5000
980,39352.59705,2056538.241,2650.182371,-87.33489453,2562.847476,5000
990,39791.21044,2042210.118,2679.720586,-114.6250101,2565.095576,5000
1000,41559.72975,1998971.764,2798.820697,-233.6177249,2565.202972,5000
1010,40823.38038,2033566.003,2749.231591,-184.1555925,2565.075999,5000
1020,39372.13057,2026375.401,2651.497847,-86.73879698,2564.75905,5000
1030,41184.1682,1966137.621,2773.528679,-208.7195306,2564.809149,5000
1040,40406.83383,2037737.816,2721.179457,-154.7130237,2566.466433,5000
1050,40124.59745,2009495.856,2702.172379,-137.2272599,2564.945119,5000
1060,38402.1193,2060664.682,2586.172888,-19.00076154,2567.172126,5000
1070,39327.11914,1997444.088,2648.466573,-83.62728708,2564.839286,5000
1080,38762.65288,2046054.787,2610.452855,-45.36821219,2565.084643,5000
1090,38894.31887,2047890.559,2619.319839,-53.0013724,2566.318467,5000
1100,40112.00627,2036456.426,2701.324432,-137.0195496,2564.304882,5000
1110,39010.82072,2062936.023,2627.165603,-59.38035073,2567.785252,5000
1120,38573.52895,2076893.692,2597.716392,-27.5466027,2570.169789,5000
1130,39619.81159,2040067.258,2668.17781,-97.92244856,2570.255361,5000
1140,41051.29751,2053656.271,2764.580564,-193.2598466,2571.320718,5000
1150,40781.1182,2058185.721,2746.385464,-172.7634078,2573.622056,5000
1160,38865.20321,2098864.31,2617.359059,-43.62340331,2573.735656,5000
1170,40276.9848,2047598.399,2712.434834,-141.3932942,2571.04154,5000
1180,40046.36617,2071649.692,2696.90393,-123.9359349,2572.967995,5000
1190,40266.93022,2066655.574,2711.757713,-137.9759543,2573.781759,5000
1200,40564.89634,2059334.785,2731.824104,-157.4319552,2574.392148,5000
1210,41387.81844,2046317.777,2787.24341,-211.8544106,2575.388999,5000
1220,41021.21624,2034313.755,2762.554755,-189.0412123,2573.513543,5000
1230,39898.58475,2072992.37,2686.951659,-111.7559572,2575.195702,5000
1240,39983.68526,2083250.728,2692.682713,-116.8193824,2575.863331,5000
1250,40462.96939,2072513.148,2724.95988,-148.0006197,2576.959261,5000
1260,40614.3924,2064510.829,2735.157392,-155.208685,2579.948707,5000
1270,40838.02355,2036917.367,2750.217728,-171.3581029,2578.859626,5000
1280,40685.26085,2021561.225,2739.929996,-163.6921748,2576.237821,5000
1290,40535.40388,2026449.344,2729.837948,-152.8426816,2576.995266,5000
1300,40317.67123,2021891.109,2715.174843,-137.2329653,2577.941878,5000
1310,39312.93785,2061481.266,2647.511541,-68.50497841,2579.006562,5000
1320,39980.7739,2030694.454,2692.486649,-112.4678901,2580.018759,5000
1330,40652.03679,2034829.064,2737.692537,-161.2816023,2576.410934,5000
1340,39006.97737,2035244.446,2626.906774,-51.46357932,2575.443195,5000
1350,40604.98916,1976043.389,2734.524136,-159.0408281,2575.483308,5000
1360,40478.54498,1973503.049,2726.008811,-149.2801702,2576.728641,5000
1370,40854.03911,2006490.734,2751.296289,-175.6274068,2575.668882,5000
1380,39318.06441,2045759.839,2647.856786,-73.67111356,2574.185673,5000
1390,39974.95618,1977039.612,2692.094857,-119.9627995,2572.132058,5000
1400,39783.43409,1972395.508,2679.196891,-107.1828837,2572.014007,5000
1410,40723.39224,1969869.208,2742.497936,-171.2703759,2571.22756,5000
1420,40402.47216,1996402.046,2720.885722,-147.0828451,2573.802877,5000
1430,40653.65432,2022454.104,2737.801468,-162.3831347,2575.418333,5000
1440,39982.80824,2073666.417,2692.623651,-116.9276093,2575.696042,5000
1450,40232.66407,2049048.802,2709.450075,-132.7812269,2576.668848,5000
1460,40380.94261,2040049.725,2719.435825,-142.9327116,2576.503113,5000
1470,40475.30675,2025797.663,2725.790734,-148.3813625,2577.409371,5000
1480,38555.96944,2064625.455,2596.533855,-15.48051862,2581.053336,5000
1490,40175.50194,2014279.071,2705.600518,-123.1353354,2582.465183,5000
1500,40380.44844,2002662.378,2719.402545,-135.3417637,2584.060781,5000
1510,39858.23122,2032817.086,2684.234069,-101.2024899,2583.031579,5000
1520,39910.7113,2021464.674,2687.768316,-105.5054569,2582.262859,5000
1530,39582.30025,2048892.042,2665.651626,-80.84738086,2584.804245,5000
1540,39686.63721,2075971.908,2672.67815,-87.39125585,2585.286894,5000
1550,40048.01059,2068144.021,2697.014673,-110.1004936,2586.914179,5000
1560,39649.55328,2073206.933,2670.18075,-83.0276997,2587.15305,5000
1570,38850.96563,2103422.615,2616.400236,-27.26014313,2589.140093,5000
1580,39681.24417,2063972.22,2672.314959,-80.96960007,2591.345359,5000
1590,39955.74392,2046617.736,2690.801016,-101.0219882,2589.779028,5000
1600,39930.86351,1989654.614,2689.125457,-97.97773847,2591.147718,5000
1610,39238.16119,2000494.385,2642.475741,-50.71598583,2591.759755,5000
1620,40123.37549,1988724.216,2702.090087,-112.4929986,2589.597088,5000
1630,39276.41255,2041178.663,2645.051761,-55.11440173,2589.937359,5000
1640,40195.08686,2037031.34,2706.919456,-116.572949,2590.346507,5000
1650,39733.62495,2059280.78,2675.842518,-82.90089511,2592.941623,5000
1660,40285.11555,2019830.018,2712.982396,-122.8898252,2590.092571,5000
1670,40470.49283,2011061.015,2725.466543,-136.0909369,2589.375606,5000
1680,41629.77505,1971933.791,2803.537866,-213.7038352,2589.83403,5000
1690,40672.85734,1992723.997,2739.094687,-150.0481854,2589.046501,5000
1700,39537.09006,2016657.555,2662.606967,-74.45094928,2588.156018,5000
1710,41058.71611,1989672.371,2765.080166,-178.3045537,2586.775613,5000
1720,40891.83552,2004595.8,2753.84167,-164.8684426,2588.973228,5000
1730,40745.84082,2023749.505,2744.009726,-156.0577924,2587.951933,5000
1740,40589.58377,2035273.7,2733.486667,-145.7741535,2587.712513,5000
1750,41097.05291,2014907.551,2767.661941,-179.6154045,2588.046536,5000
1760,40186.53692,2018871.212,2706.343664,-118.388595,2587.955069,5000
1770,40356.67823,1990253.89,2717.801751,-128.0479464,2589.753805,5000
1780,39696.18461,2022518.17,2673.321116,-84.30975009,2589.011366,5000
1790,39430.7234,2047387.258,2655.443754,-68.32494633,2587.118807,5000
1800,38689.43557,2034429.794,2605.522069,-23.904493,2581.617576,5000
1810,38703.42529,2026089.099,2606.4642,-23.13588419,2583.328316,5000
1820,38595.0938,2049622.387,2599.168666,-11.24535445,2587.923312,5000
1830,38360.5859,2077601.879,2583.375841,1.608889021,2584.98473,5000
1840,40384.98241,2020722.343,2719.707883,-133.9075125,2585.800371,5000
1850,40071.31533,2047570.546,2698.584119,-107.9514438,2590.632676,5000
1860,39480.7794,2062641.819,2658.814752,-67.75492932,2591.059822,5000
1870,40108.06666,2076912.933,2701.059121,-107.7950031,2593.264117,5000
1880,39599.86129,2069322.61,2666.834266,-72.27745441,2594.556812,5000
1890,40610.9896,2044312.535,2734.928233,-140.1110611,2594.817172,5000
1900,38292.30955,2115504.956,2578.777802,15.31503022,2594.092832,5000
1910,40024.59885,2046475.393,2695.43802,-102.7390661,2592.698954,5000
1920,41263.36138,1964915.116,2778.861907,-186.9050469,2591.95686,5000
1930,40150.06064,2029506.61,2703.887186,-109.5821823,2594.305004,5000
1940,40956.634,2001219.251,2758.205494,-164.0703152,2594.135179,5000
1950,40941.28357,1982986.169,2757.171727,-160.9928757,2596.178851,5000
1960,41331.03513,1965790.464,2783.419365,-185.89423,2597.525135,5000
1970,40997.20582,2022292.783,2760.937785,-163.0477061,2597.890079,5000
1980,40818.80161,2055528.647,2748.923236,-145.868466,2603.05477,5000
1990,41859.74405,2022795.344,2819.025021,-213.8306697,2605.194351,5000
2000,41163.67714,2028565.39,2772.148718,-168.479478,2603.66924,5000
2010,40711.60994,2036600.454,2741.704463,-135.6872004,2606.017262,5000
2020,39759.60676,2062348.754,2677.592251,-70.0720624,2607.520188,5000
2030,40215.39485,2070146.562,2708.287088,-101.3287094,2606.958378,5000
2040,40491.3896,2085070.792,2726.873826,-121.9614178,2604.912408,5000
2050,40000.69701,2052301.516,2693.828361,-90.54893031,2603.279431,5000
2060,39948.62185,2022529.233,2690.321384,-84.64742237,2605.673962,5000
2070,40945.47646,2020975.439,2757.454095,-152.0010251,2605.45307,5000
2080,39772.52701,2087211.865,2678.462359,-73.45207864,2605.01028,5000
2090,40155.71594,2072927.498,2704.26804,-96.62893274,2607.639107,5000
2100,41786.68316,1988078.928,2814.104769,-205.1418472,2608.962922,5000
2110,40992.6124,2050231.025,2760.628443,-151.5537297,2609.074713,5000
2120,39569.6936,2070115.159,2664.802637,-56.37938075,2608.423257,5000
2130,40021.12339,2070238.912,2695.203967,-86.70169761,2608.502269,5000
2140,40035.29546,2041582.072,2696.158378,-88.35084106,2607.807537,5000
2150,39701.4386,2037910.887,2673.674943,-62.73778702,2610.937156,5000
2160,39310.34473,2032028.29,2647.336908,-33.9669335,2613.369975,5000
2170,39825.27356,2003376.756,2682.014551,-65.91483454,2616.099716,5000
2180,40135.22383,1983912.526,2702.888008,-89.25264426,2613.635363,5000
2190,40746.965,1980030.415,2744.085433,-131.4201461,2612.665287,5000
2200,41300.66089,1956192.64,2781.373826,-165.3024405,2616.071385,5000
2210,40440.83145,2036814.453,2723.469011,-105.3271166,2618.141895,5000
2220,39253.95419,2044946.336,2643.539313,-22.63997399,2620.899339,5000
2230,38099.20728,2137939.489,2565.773419,54.03314043,2619.806559,5000
2240,39346.74236,2064371.22,2649.78809,-30.281275,2619.506815,5000
2250,38859.55379,2057599.893,2616.978602,0.663911378,2617.642513,5000
2260,40690.37766,2008830.875,2740.274584,-121.9834127,2618.291172,5000
2270,40734.91491,1998736.294,2743.273925,-125.5751333,2617.698792,5000
2280,41958.54295,2006984.575,2825.678587,-208.0592517,2617.619335,5000
2290,39981.07533,2032102.138,2692.506949,-73.00143014,2619.505519,5000
2300,39353.0293,2043736.498,2650.211481,-29.38312587,2620.828355,5000
2310,39249.92919,2095198.94,2643.268252,-18.90229006,2624.365962,5000
2320,39883.60842,2072217.881,2685.943085,-59.72564728,2626.217438,5000
2330,39204.48881,2054121.392,2640.20809,-10.49748979,2629.7106,5000
2340,39598.35675,2048312.643,2666.732944,-37.66179348,2629.07115,5000
2350,40410.19119,2043529.83,2721.405557,-92.43461701,2628.97094,5000
2360,40278.82674,2071770.476,2712.558879,-82.59815382,2629.960725,5000
2370,41201.79938,2062334.589,2774.716043,-143.1416812,2631.574362,5000
2380,39314.47522,2130324.47,2647.615074,-15.36701819,2632.248056,5000
2390,40939.00938,2050554.755,2757.018572,-125.0307248,2631.987847,5000
2400,42239.45843,1988615.334,2844.59671,-211.1876014,2633.409108,5000
2410,40769.93636,2048431.569,2745.632428,-112.1176054,2633.514823,5000
2420,39820.63904,2092508.632,2681.702441,-48.06509505,2633.637346,5000
2430,40307.35264,2072982.726,2714.479943,-79.53421714,2634.945726,5000
2440,41285.76376,2059031.677,2780.370585,-144.7077161,2635.662869,5000
2450,40478.80772,2057910.315,2726.026506,-88.22747761,2637.799028,5000
2460,40457.65258,2028094.271,2724.601822,-87.70208982,2636.899732,5000
2470,39429.46392,2083292.453,2655.358934,-17.38358283,2637.975352,5000
2480,39932.88576,2082531.118,2689.261644,-50.22386626,2639.037778,5000
2490,40524.91675,2040780.453,2729.131696,-89.19910296,2639.932593,5000
2500,42021.84683,2006936.06,2829.941757,-188.8952828,2641.046475,5000
2510,38731.36196,2130670.833,2608.345582,35.92142544,2644.267008,5000
2520,40007.35509,2074334.479,2694.276747,-50.80033785,2643.476409,5000
2530,40842.87851,2032269.231,2750.544684,-106.8553759,2643.689308,5000
2540,40924.10131,2017315.222,2756.014595,-107.065392,2648.949203,5000
2550,40079.26145,2031902.778,2699.119247,-48.75138856,2650.367859,5000
2560,41170.404,2029968.386,2772.601735,-123.4113965,2649.190339,5000
2570,40730.46805,2056886.566,2742.974453,-92.53071247,2650.443741,5000
2580,40199.63597,2063771.844,2707.225813,-56.89676423,2650.329049,5000
2590,40765.45599,2055365.899,2745.3307,-92.75270522,2652.577995,5000
2600,40357.38169,2054623.201,2717.849126,-63.00013943,2654.848986,5000
2610,40374.57915,2057448.308,2719.007281,-62.17579028,2656.83149,5000
2620,39645.9347,2065432.509,2669.937059,-6.725191499,2663.211867,5000
2630,40463.49436,2059405.59,2724.995234,-62.45928607,2662.535948,5000
2640,42376.45475,2043791.272,2853.822663,-190.9013548,2662.921309,5000
2650,40933.76552,2075456.803,2756.665427,-93.0129287,2663.652498,5000
2660,40668.29543,2063347.734,2738.787467,-76.83384627,2661.953621,5000
